Ref,Value,Name,MFG,QTY,TAYDA,MOUSER,MOUSER ALT,,Thonk,note,Lead Spacing
"C1, C3",47n,CAP100,,2,,594-K473K20X7RH53H5,,,XX,MLCC,2.5
"C2, C4, C10",1n,CAP100,,3,,594-K102K10X7RH5UL2,594-D102K29X5FL63L6R,,XX,,2.5
"C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17",100n,CAP100,,11,,594-K104K15X7RF5TH5,,,XX,,2.5
C9,10n,CAP100,,1,,594-K103K10X7RF5UL2,594-S103M47Z5UN63J7R,,XX,,2.5
"C18, C19",10u 25V,EC80-5,,2,,667-ECA-1EM100I,,,XX,,2.5
"D1, D2",,1N4001,,2,,625-1N4001-E3/73,,,XX,,
"FB1, FB2",68R,Ferrite Bead,Fair-Rite,2,,623-2743001112LF,,,XX,,
J1,,EUROPWR16,,1,A-2956,710-61201621621,,,XX,,
"Q1, Q2",,2N3819,ON Semiconductor,2,,610-2N3819,,,XX,,
"R1, R3, R7, R11, R13, R17, R19, R26, R28, R30, R33, R34, R35, R37, R38, R39, R41, R42, R43, R44, R45, R46",10K,RES300,,22,A-2203,660-MF1/4DCT52R1002F,660-MF1/4DCT52A1002F,,XX,,7.5
"R2, R12, R27",20K,RES300,,3,,660-MF1/4DCT52R2002F,660-MF1/4DCT52A2002F,,XX,,7.5
"R4, R25",4.7K,RES300,,2,,660-MF1/4DCT52R4701F,660-MF1/4DC4701F,,XX,,7.5
"R5, R6, R9, R10, R14, R18, R21",1K,RES300,,7,A-2200,660-MF1/4DCT52R1001F,,,XX,,7.5
R8,120K,RES300,,1,,660-MF1/4DCT52R1203F,,,XX,,7.5
R15,24K,RES300,,1,,660-MF1/4DCT52R2402F,,,XX,,7.5
"R16, R23, R31",100K,RES300,,3,,660-MF1/4D52R1003F,,,XX,,7.5
R20,15K,RES300,,1,,660-MF1/4DCT52R1502F,,,XX,,7.5
R22,2.7K,RES300,,1,,660-MF1/4DCT52R2701F,,,XX,,7.5
R24,47K,RES300,,1,A-2279,660-MF1/4DCT52R4702F,,,XX,,7.5
"R36, R40",470K,RES300,,2,A-2180,660-MF1/4DCT52R4703F,,,XX,,7.5
"R10-MIXA, R18-MIXB, R32-MIXD",B10K,ALPHA9V,Alpha,3,A-5531,311-1940F-15R1-B10K,311-1940F-15F-B10K,652-PTV09A-4015UB103,alpha 9mm pots vertical,linear,
"R14-FREQB, R21-FREQC, R29-FREQD",1M,ALPHA9V,Alpha,3,,317-3090F-B1M,,,alpha 9mm pots vertical,linear?,
"S1, S2, S3, S4, S5, S6","WAVEA-D, SYNC B-D",7101K2CBE,C&K,1,,506-A101SYCB04,611-7101-002,,DWB1,part specd here seems wrong - k2 Is wrong toggle type-,
"U1, U2, U3",,TL074J,Texas Instruments,3,,595-TL074CN,595-TL074CN,,xx,,
U4,,TL072P,Texas Instruments,1,,595-TL072CP,595-TL072CP,,xx,,
J2,VERT,WQP-PJ398SM,"Wenzhou QingPu Electronics Co., Ltd",1,A-2563,XX,,,THONKICONN NEW - PJ398SM,,
J3,HORIZ,WQP-PJ398SM,"Wenzhou QingPu Electronics Co., Ltd",1,A-2563,XX,,,THONKICONN NEW - PJ398SM,,
J4,SYNC OUT,WQP-PJ398SM,"Wenzhou QingPu Electronics Co., Ltd",1,A-2563,XX,,,THONKICONN NEW - PJ398SM,,
